,id,name,complex_medium,source,link,min_pH,max_pH,reference,description
0,1,NUTRIENT AGAR,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1.pdf,7.0,7.0,,
1,1a,REACTIVATION WITH LIQUID MEDIUM 1,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1a.pdf,7.0,7.0,,
2,2,BACILLUS PASTEURII MEDIUM,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium2.pdf,,,,
3,3,AZOTOBACTER MEDIUM,0,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium3.pdf,7.3,7.3,,
4,6,ALLANTOIN MINERAL MEDIUM,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium6.pdf,,,,
5,7,ANCYLOBACTER - SPIROSOMA MEDIUM,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium7.pdf,7.0,7.0,,
6,8,"BACILLUS ""RACEMILACTICUS"" MEDIUM",1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium8.pdf,6.8,6.8,,
7,9,VY/2 AGAR,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium9.pdf,7.2,7.2,,
8,9a,"VY/2, REDUCED MEDIUM",1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium9a.pdf,7.2,7.2,,
9,10,ZYMOMONAS MEDIUM,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium10.pdf,,,,
10,11,MRS MEDIUM,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium11.pdf,6.2,6.5,,
11,11a,MODIFIED MEDIUM 11,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium11a.pdf,,,,
12,11b,MRS MEDIUM (pre-reduced),1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium11b.pdf,6.2,6.5,,
13,12,SOIL EXTRACT MEDIUM,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium12.pdf,6.8,7.0,,
14,13,BACILLUS ACIDOCALDARIUS MEDIUM,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium13.pdf,,,,
15,14,CLOSTRIDIUM FORMICACETICUM MEDIUM,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium14.pdf,8.0,8.0,,
16,21,SARCINA MEDIUM,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium21.pdf,6.0,6.0,,
17,25,RHODOPSEUDOMONAS GLOBIFORMIS MEDIUM,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium25.pdf,4.9,4.9,,
18,26,ACID RHODOSPIRILLACEAE MEDIUM,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium26.pdf,5.7,5.7,,
19,27,RHODOSPIRILLACEAE MEDIUM (modified),1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium27.pdf,6.8,6.8,,
20,28,PFENNIG'S MEDIUM I ,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium28.pdf,7.1,7.3,,
21,28a,THIORHODOCOCCUS MEDIUM,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium28a.pdf,7.1,7.3,,
22,28b,THIORHODOCOCCUS MEDIUM II,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium28b.pdf,7.5,7.5,,
23,29,PFENNIG'S MEDIUM II,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium29.pdf,6.8,7.1,,
24,29a,MEDIUM FOR CHLOROBIUM FERROOXIDANS,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium29a.pdf,6.8,6.8,,
25,31,ALKALINE NUTRIENT AGAR,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium31.pdf,9.7,9.7,,
26,32,PHOTOBACTERIUM MEDIUM,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium32.pdf,7.2,7.5,,
27,34,CARYOPHANON LATUM MEDIUM,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium34.pdf,7.8,7.8,,
28,35,ACIDITHIOBACILLUS MEDIUM,0,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium35.pdf,4.2,4.2,,
29,35a,THIOMONAS MEDIUM,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium35a.pdf,6.0,6.0,,
30,36,THIOBACILLUS MEDIUM,0,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium36.pdf,6.6,6.6,,
31,37,SPIRILLUM MEDIUM,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium37.pdf,6.8,6.8,,
32,38,ACETOANAEROBIUM MEDIUM,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium38.pdf,7.0,7.0,,
33,39,PFENNIG'S MEDIUM I WITH YEAST EXTRACT,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium39.pdf,,,,
34,40,PFENNIG'S MEDIUM II WITH SALT,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium40.pdf,,,,
35,43,PFENNIG'S MEDIUM I WITH SALT,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium43.pdf,7.1,7.3,,
36,44,RHODOCYCLUS PURPUREUS MEDIUM,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium44.pdf,,,,same as Medium 27
37,46,PFENNIG'S MEDIUM I WITH SALT,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium46.pdf,7.1,7.3,,
38,48,TRYPTONE THIOGLYCOLATE MEDIUM,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium48.pdf,7.5,7.5,,
39,49,C/10 MEDIUM,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium49.pdf,7.2,7.2,,
40,51,SPHAEROTILUS MEDIUM,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium51.pdf,7.0,7.0,,
41,52,CLOSTRIDIUM KLUYVERI MEDIUM,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium52.pdf,6.8,7.0,,
42,53,CORYNEBACTERIUM AGAR,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium53.pdf,7.2,7.4,,
43,54,GLUCOSE YEAST EXTRACT MEDIUM,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium54.pdf,,,,
44,54a,REACTIVATION WITH LIQUID MEDIUM 545,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium54a.pdf,7.3,7.3,,
45,54b,CLOSTRIDIUM SP. MEDIUM,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium54b.pdf,,,,
46,55,FRUCTOSE MINERAL MEDIUM,0,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium55.pdf,,,,
47,56,TRYPTICASE STARCH AGAR,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium56.pdf,,,,
48,57,AAM MEDIUM,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium57.pdf,5.4,5.4,,
49,58,BIFIDOBACTERIUM MEDIUM,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium58.pdf,6.8,6.8,,
50,59,LEUCONOSTOC OENOS MEDIUM,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium59.pdf,4.8,4.8,,
51,60,MOORELLA MEDIUM,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium60.pdf,6.9,6.9,,
52,61,THERMOANAEROBACTER MEDIUM,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium61.pdf,6.8,7.5,,
53,63,DESULFOVIBRIO (POSTGATE) MEDIUM,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium63.pdf,6.8,7.0,,
54,63a,DESULFOTOMACULUM (14.5) MEDIUM,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium63a.pdf,6.8,7.0,,
55,63b,DESULFOVIBRIO MEDIUM (SEAWATER),1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium63b.pdf,6.8,7.0,,
56,63c,DESULFOVIBRIO MEDIUM (CHOLINE),1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium63c.pdf,6.8,7.0,,
57,65,GYM STREPTOMYCES MEDIUM,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium65.pdf,7.2,7.2,,
58,67,CY-AGAR,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium67.pdf,7.2,7.2,,
59,68,HALOTHIOBACILLUS NEAPOLITANUS MEDIUM,0,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium68.pdf,6.6,7.0,,
60,69,STARKEYA NOVELLA MEDIUM,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium69.pdf,8.5,8.5,,
61,70,ACIDITHIOBACILLUS FERROOXIDANS MEDIUM,0,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium70.pdf,1.4,1.4,,
62,71,ACIDITHIOBACILLUS THIOOXIDANS MEDIUM,0,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium71.pdf,4.4,4.7,,
63,73,MEDIUM FOR HALOPHILIC BACILLI,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium73.pdf,7.0,7.0,,
64,74,THERMUS THERMOPHILUS MEDIUM,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium74.pdf,7.0,7.0,,
65,75,TRYPTICASE PHYTONE MEDIUM,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium75.pdf,7.3,7.3,,
66,76,GOTTSCHALKIA MEDIUM,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium76.pdf,7.0,7.5,,
67,77,LIVER BROTH (Oxoid CM 77),1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium77.pdf,,,,
68,78,CHOPPED MEAT MEDIUM,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium78.pdf,7.0,7.0,,
69,78a,CHOPPED MEAT MEDIUM FOR TREPONEMA SP.,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium78a.pdf,,,,
70,78b,CHOPPED MEAT MEDIUM (N2/CO2),1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium78b.pdf,7.0,7.0,,
71,78c,CHOPPED MEAT MEDIUM FOR FRETIBACTERIUM SP.,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium78c.pdf,7.0,7.0,,
72,78d,MEDIUM FOR TREPONEMA PARVUM,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium78d.pdf,7.0,7.0,,Not in use anymore!
73,79,LEUCOTHRIX MEDIUM,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium79.pdf,7.8,7.8,,
74,80,GLYCEROL-SOIL MEDIUM,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium80.pdf,7.0,7.0,,
75,81,MINERAL MEDIUM FOR CHEMOLITHOTROPHIC GROWTH (H-3),0,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium81.pdf,6.8,6.8,,
76,81a,THIOMONAS ISLANDICA MEDIUM,0,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium81a.pdf,5.0,5.0,,
77,82,BHI-GLUCOSE MEDIUM,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium82.pdf,,,,
78,83,CZAPEK PEPTONE AGAR,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium83.pdf,7.3,7.3,,
79,84,ROLLED OATS MINERAL MEDIUM,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium84.pdf,7.2,7.2,,
80,85,GLUCOSE PEPTONE MEDIUM,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium85.pdf,6.0,6.0,,
81,86,CASTENHOLZ MEDIUM,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium86.pdf,8.2,8.2,,
82,86a,MODIFIED CASTENHOLZ MEDIUM,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium86a.pdf,7.8,7.8,,
83,87,CHLOROFLEXUS MEDIUM (modified),1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium87.pdf,8.2,8.2,,
84,87a,CHLOROFLEXUS AGGREGANS MEDIUM,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium87a.pdf,8.2,8.2,,
85,88,SULFOLOBUS MEDIUM,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium88.pdf,2.0,2.0,,
86,88a,SULFOLOBUS MEDIUM (ANAEROBIC),1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium88a.pdf,4.0,4.0,,
87,88b,V24N MEDIUM,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium88b.pdf,6.0,6.0,,
88,88c,ZESTOSPHAERA MEDIUM,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium88c.pdf,6.0,6.0,,
89,90,MALT EXTRACT PEPTONE AGAR,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium90.pdf,5.6,5.6,,
90,91,PROPIONIBACTERIUM AGAR,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium91.pdf,7.0,7.2,,
91,92,TRYPTICASE SOY YEAST EXTRACT MEDIUM,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium92.pdf,7.0,7.2,,
92,92a,MODIFIED MEDIUM 92,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium92a.pdf,,,,
93,93,LACTOBACILLUS MEDIUM II,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium93.pdf,5.2,5.2,,
94,95,DESULFUROMONAS ACETOXIDANS MEDIUM,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium95.pdf,7.2,7.2,,
95,97,HALOBACTERIUM MEDIUM,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium97.pdf,7.4,7.4,,
96,98,RHIZOBIUM MEDIUM,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium98.pdf,7.0,7.0,,
97,101,NUTRIENT AGAR or BROTH WITH NaCl,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium101.pdf,,,,
98,102,FLAVOBACTERIUM AQUATILE MEDIUM,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium102.pdf,7.4,7.4,,
99,104,PYG MEDIUM (modified),1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium104.pdf,7.2,7.2,,
100,104a,ANAEROBACULUM MEDIUM,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium104a.pdf,7.0,7.0,,
101,104b,PY + X MEDIUM,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium104b.pdf,6.8,7.0,,
102,104c,PY + X MEDIUM (N2/CO2),1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium104c.pdf,7.0,7.0,,
103,104d,MALEDIVIBACTER MEDIUM (BETAINE),1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium104d.pdf,7.3,7.5,,
104,105,GLUCONOBACTER OXYDANS MEDIUM,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium105.pdf,6.8,6.8,,
105,108,ACIDIPHILIUM ACIDOPHILUM MEDIUM,0,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium108.pdf,4.5,4.5,,
106,109,RHODOPSEUDOMONAS SULFOVIRIDIS MEDIUM,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium109.pdf,6.8,6.8,,
107,110,CHOPPED MEAT MEDIUM WITH CARBOHYDRATES,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium110.pdf,7.0,7.0,,
108,110a,CMC MEDIUM (N2/CO2),1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium110a.pdf,7.0,7.0,,
109,111,BEIJERINCKIA MEDIUM,0,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium111.pdf,6.5,6.5,,
110,113,THIOBACILLUS DENITRIFICANS MEDIUM,0,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium113.pdf,7.0,7.0,,
