,TaxID,Resources,NicheWidth,GenomeSize,GeneCounts,ProteinCodingGenes
0,414778.0,"['Agar', 'Distilled water', 'Yeast extract', 'Trypticase soy broth']",4,3319331,3255,3118
1,1302376.0,"['Peptone', 'Agar', 'Distilled water', 'Beef extract', 'NaCl', 'Glucose', 'MgSO4 x 7 H2O', 'K2HPO4', 'Yeast extract', 'Casamino acids', 'Starch', 'Proteose peptone no. 3', 'Sodium pyruvate', 'Bacto peptone', 'Tryptone']",15,1835598,904,820
2,200252.0,"['Agar', 'Distilled water', 'Yeast extract', 'Dextrose', 'Tryptone']",5,4818874,4893,4737
3,1331682.0,"['Agar', 'Distilled water', 'Yeast extract', 'Trypticase soy broth']",4,3953253,3523,3448
4,1619308.0,"['Agar', 'Distilled water', 'MgSO4 x 7 H2O', 'Yeast extract', 'Bacto peptone', 'Glycerol', 'Beef extract', 'Casamino acids', 'Malt extract']",9,4351649,4167,4093
5,512649.0,"['Distilled water', 'Yeast extract', 'Bacto peptone', 'NaCl', 'Fe(III) citrate', 'NaHCO3', 'KCl', 'CaCl2', 'Na2SO4', 'KBr', 'MgCl2']",11,4833901,4322,4099
6,260554.0,"['Agar', 'Distilled water', 'Yeast extract', 'Trypticase soy broth']",4,4154245,4288,4034
7,75906.0,"['Distilled water', 'NaHCO3', 'Na2S2O3 x 5 H2O', '5902']",4,1521037,1675,1614
8,352475.0,"['Distilled water', 'Sodium carbonate', 'dehydrated RCM medium', 'Sodium resazurin', 'K2HPO4', 'Casein peptone', 'NaCl', 'Soy peptone', 'D(+)-Glucose', 'Peptone', 'Agar', 'Glucose', 'CaCl2 x 2 H2O', 'MgSO4 x 7 H2O', 'KH2PO4', 'Yeast extract', 'N-Acetylglucosamine', 'Na-ampicillin', '2294', 'Meat extract', 'MnSO4 x H2O', 'Tween 80', 'Na-acetate', '(NH4)3 citrate', 'Trypticase soy broth', '(NH4)2 citrate', 'Bacto peptone', 'Fe(III) citrate', 'NaHCO3', 'KCl', 'CaCl2', 'Na2SO4', 'KBr', 'MgCl2', 'Glycerol', 'Beef extract', 'Casamino acids', 'Malt extract', '(NH4)2SO4', 'MgCl2 x 6 H2O', 'Sodium lactate', '3851', 'dehydrated Wilkins-Chalgren medium', 'L-Cysteine HCl', 'Na2HPO4', 'Na-malate', 'Bis-Tris', '4059', '934', 'Casitone', 'Ground beef', 'NaOH', 'Na2CO3', 'Trypticase', 'n-Valeric acid', 'L-Cysteine HCl x H2O', 'CaCO3', 'Trypticase peptone', 'Phytone peptone', 'Maltose', 'Starch', 'D-Glucose', 'Cellobiose', '5540', 'FeSO4 x 7 H2O', 'NH4Cl', 'Na2S x 9 H2O', 'Betaine x H2O', 'FeSO4', 'Trehalose', '5980']",71,4848065,4729,4590
9,43263.0,"['Peptone', 'Agar', 'Distilled water', 'NaCl', 'Beef extract', 'Meat extract']",6,4406305,4168,4076
10,1348584.0,"['Distilled water', 'Yeast extract', 'Bacto peptone', 'NaCl', 'Fe(III) citrate', 'NaHCO3', 'KCl', 'CaCl2', 'Na2SO4', 'KBr', 'MgCl2']",11,4635105,3985,3921
11,2026.0,"['Agar', 'Distilled water', 'Yeast extract', 'Oat flakes', '147', 'NaCl', 'Tryptone', 'Meat extract', 'Dextrin', 'Enzymatic digest of casein', 'Glucose', 'CaCO3', 'Malt extract', 'Starch', 'Casein peptone', 'D(+)-Glucose', 'Meat peptone', 'CaCl2 x 2 H2O', 'Beef extract', 'Casamino acids', 'Czapek Dox agar', 'Tryptophan', 'MgSO4 x 7 H2O', 'KH2PO4', '(NH4)2SO4', 'Betaine', 'Kao and Michayluk vitamin solution', '3847', 'Czapek-Dox liquid medium', 'Peptone', 'K2HPO4', 'FeSO4 x 7 H2O', 'KCl', 'Sucrose', 'NaNO3', 'Rolled oats', 'Corn steep liquor']",37,2638027,2758,2623
12,2675101.0,"['Agar', 'Distilled water', 'Glucose', 'MgSO4 x 7 H2O', 'K2HPO4', 'Yeast extract', 'Casamino acids', 'Starch', 'Proteose peptone no. 3', 'Sodium pyruvate']",10,3270651,3186,3095
13,292800.0,"['Distilled water', 'dehydrated Wilkins-Chalgren medium', 'L-Cysteine HCl', 'Sodium resazurin', 'Agar', 'K2HPO4', 'Yeast extract', 'Casitone', 'Trypticase peptone', 'Phytone peptone', 'Ground beef', 'Maltose', 'Starch', 'D-Glucose', 'Cellobiose', 'NaOH', '5540', 'Oatmeal', '1209', 'MgSO4 x 7 H2O', 'CaCO3', '(NH4)2SO4', 'NaCl', '147', 'KNO3', 'Glucose', 'Malt extract', 'Rolled oats']",28,3985392,3967,3815
14,709883.0,"['Agar', 'Distilled water', 'MgSO4 x 7 H2O', 'K2HPO4', 'Yeast extract', 'Starch', 'Glucose', 'CaCl2 x 2 H2O', 'Casein peptone', 'Beef extract', 'CaCO3', 'N-Z amine', 'Malt extract']",13,7096032,6482,6305
