,0,1, 

0,DSM 52920,['9'],Melittangium lichenicola

1,DSM 23490,['830'],Bacillus sp.

2,DSM 105524,['830'],Brevundimonas sp.

3,DSM 12412,"['952', '953', 'J23', 'J24']",Bradyrhizobium oligotrophicum

4,DSM 11944,"['129', '186']",Candida albicans

5,DSM 100694,['693'],Bartonella fuyuanensis

6,DSM 109746,['1429'],Nannizzia praecox

7,DSM 16404,"['92', '514', 'J118', 'J569']",Arthrobacter parietis

8,DSM 106003,"['129', '186']",Saccharomyces cerevisiae

9,DSM 51255,['9'],Corallococcus coralloides

10,DSM 8701,['381'],Escherichia coli

11,DSM 13415,"['215', '438', '693']",Bordetella parapertussis

12,DSM 107139,['65'],Mycobacterium sp.

13,DSM 29126,"['92', '693', 'J28']",Streptococcus parasuis

14,DSM 51854,['9'],Corallococcus exiguus

15,DSM 100537,['104'],Anaerococcus jeddahensis

16,DSM 26501,['514'],Alteromonas mediterranea

17,DSM 52688,['9'],Cystobacter gracilis

18,DSM 22028,"['104b', 'J14', 'J674', 'J676']",Blautia glucerasea

19,DSM 51205,['9'],Corallococcus coralloides

20,DSM 18676,['1'],Bacillus sp.

21,DSM 15942,"['92', 'J26']",Promicromonospora vindobonensis

22,DSM 13496,"['883', 'J236']",Caldivirga maquilingensis

23,DSM 8304,['90'],Psilocybe cubensis

24,DSM 41844,"['65', '84']",Streptomyces sp.

25,DSM 101469,['830'],Agromyces sp.

26,DSM 11779,['78'],Clostridium perfringens

27,DSM 116237,['1076b'],Metamycoplasma gateae

28,DSM 52359,['9'],Myxococcus virescens

29,DSM 112538,['514f'],Vibrio campbellii

30,DSM 20184,"['11', 'J13', 'J84']",Companilactobacillus farciminis

31,DSM 30588,['220'],Micrococcus luteus

32,DSM 41316,"['65', '84']",Streptomyces sp.

33,DSM 26640,"['514', 'J118']",Phaeobacter gallaeciensis

34,DSM 44618,"['910', '1159']",Nocardiopsis arabicus

35,DSM 6651,['190'],Beauveria brongniartii

36,DSM 29965,['514'],Phaeobacter inhibens

37,DSM 13666,"['215', 'J181']",Alkalihalobacillus okuhidensis

38,DSM 52608,['9'],Archangium gephyra

39,DSM 45447,"['553', '987']",Actinoallomurus amamiensis

40,DSM 8324,"['215', '693']",Aggregatibacter actinomycetemcomitans

41,DSM 52517,['9'],Myxococcus fulvus

42,DSM 28152,['514'],Demequina rhizosphaerae

43,DSM 827,"['129', '195a', '298b', '807']",Aspergillus unguis

44,DSM 107362,"['830', 'J26']",Amnibacterium soli

45,DSM 18034,['163'],Paradesulfovibrio bizertensis

46,DSM 53320,['9'],Sorangium cellulosum

47,DSM 9682,"['92', '693', '696']",Streptococcus suis

48,DSM 26320,"['1', '535']",Massilia consociata

49,DSM 102933,['1'],Acinetobacter baumannii

50,DSM 660,"['63', '80', '81', '220', '220a', '457', '535']",Pseudonocardia saturnea

51,DSM 52647,['9'],Cystobacter fuscus

52,DSM 23148,"['220', 'J75']",Heyndrickxia acidiproducens

53,DSM 45044,"['65', '554', 'J61']",Stackebrandtia albiflava

54,DSM 18498,['830'],Phaeospirillum sp.

55,DSM 40878,"['65', '252']",Streptomyces griseus subsp. griseus

56,DSM 23190,['535'],Luteibacter anthropi

57,DSM 10001,"['65', '339', '429', '514', '804', '898a', '898b', '1203', 'J26', 'J43', 'J1077', 'J1078']",Haemophilus influenzae

58,DSM 29043,"['514c', 'J118']",Novosphingobium marinum

59,DSM 6104,['1'],Bacillus thuringiensis

60,DSM 51790,['9'],Corallococcus coralloides

61,DSM 45365,"['65', '252', '553', 'J61']",Micromonospora maris

62,DSM 13111,"['11', '1430']",Komagataeibacter intermedius

63,DSM 51466,['9'],Corallococcus coralloides

64,DSM 3557,['90'],Trametes gibbosa

65,DSM 20548,"['104', 'J14', 'J84']",Anaerococcus prevotii

66,DSM 21624,"['220', 'J652']",Amphibacillus sediminis

67,DSM 44970,['65'],Pseudonocardia sp.

68,DSM 101470,['92'],Kocuria sp.

69,DSM 9653,"['545', '763']",Bosea thiooxidans

70,DSM 23952,"['1271', 'J852']",Pleomorphochaeta multiformis

71,DSM 113008,"['693', '1203a']",Oliverpabstia intestinalis

72,DSM 113527,['830'],Bacillus sp.

73,DSM 110158,"['78', '693']",Adlercreutzia muris

74,DSM 19979,['1217'],Roseococcus suduntuyensis

75,DSM 43803,"['65', '84', '553', 'J42']",Streptomyces indiaensis

76,DSM 535,"['9', '65', '182', '372', '514b', '535', '593', '693', '938', 'J57', 'J169', 'J599']",Pseudonocardia autotrophica

77,DSM 53511,['9'],Sorangium cellulosum

78,DSM 4895,['90'],Antrodia variiformis

79,DSM 43637,"['354', '645', 'J712']",Mycobacterium farcinogenes

80,DSM 7030,"['186', '262', '693', 'J25', 'J30']",Paenibacillus larvae

81,DSM 112071,['381'],Phage (phagum)

82,DSM 45873,"['65', 'J104']",Actinomycetospora atypica

83,DSM 5159,"['9', '592']",Thermomicrobium roseum

84,DSM 53316,['9'],Sorangium cellulosum

85,DSM 12540,['514'],Glaciecola sp.

86,DSM 113518,['830'],Rhodococcus sp.

87,DSM 4849,['92'],Carnobacterium mobile

88,DSM 105717,"['1', '535']",Pectobacterium zantedeschiae

89,DSM 26713,['104'],Schaalia naturae

90,DSM 111129,"['1', '535']",Pseudomonas sp.

91,DSM 113763,['1'],Peribacillus sp.

92,DSM 12251,['628'],Prosthecobacter dejongeii

93,DSM 100865,"['92', '693']",Myroides odoratimimus

94,DSM 50857,"['1', '54']",Xanthomonas hortorum

95,DSM 51311,['9'],Corallococcus coralloides

96,DSM 100295,['1560'],Stieleria neptunia

97,DSM 30779,['220'],Bacillus licheniformis

98,DSM 45863,"['65', '84']",Catenulispora graminis

99,DSM 24478,['1007'],Methylosinus sp.

100,DSM 103175,['830'],Arthrobacter sp.

101,DSM 101673,"['65', '84']",Streptomyces sp.

102,DSM 18958,['1'],Xanthomonas cassavae

103,DSM 24901,['514'],Vibrio zhanjiangensis

104,DSM 113975,['514'],Phage (phagum)

105,DSM 53487,['9'],Sorangium cellulosum

106,DSM 15728,['104b'],Clostridium sp.

107,DSM 12418,"['1', '457']",Arthrobacter sp.

108,DSM 70464,['186'],Saccharomyces cerevisiae

109,DSM 51452,['9'],Corallococcus coralloides

110,DSM 41738,"['65', '84']",Streptomyces sp.

111,DSM 14994,['1526'],Sediminispirochaeta sinaica

112,DSM 53018,['9'],Nannocystis exedens

113,DSM 45394,"['645', 'J386']",Mycobacterium longobardum

114,DSM 16356,"['795a', 'J417']",Lebetimonas acidiphila

115,DSM 28233,['830'],Scopulibacillus sp.

116,DSM 16660,['187'],Aspergillus glaucus

117,DSM 52334,['9'],Myxococcus virescens

118,DSM 2301,"['1', '220', '514']",Bacillus cereus

119,DSM 43421,"['65', '83']",Micromonospora sp.

120,DSM 52580,['9'],Myxococcales unclassified

121,DSM 109514,['220'],Bacillus subtilis

122,DSM 100618,"['503', '1004', 'J1103']",Lentimicrobium saccharophilum

123,DSM 45167,"['645', 'J386']",Mycobacterium madagascariense

124,DSM 848,['129'],Penicillium rubens

125,DSM 107525,['232'],Lactobacillus gasseri

126,DSM 12223,['1'],Solibacillus silvestris

127,DSM 13542,"['925', 'J311']",Thioalkalivibrio thiocyanoxidans

128,DSM 22198,['830'],Nitrospirillum iridis

129,DSM 18823,['520'],Clostridium phytofermentans

130,DSM 29892,['1426'],Brevitalea deliciosa

