
0,JCM 21479,['J118'],Vibrio superstes

1,JCM 3343,"['J26', 'J43', 'J346', 'J1253']",Nocardia violaceofusca

2,JCM 16428,['J574'],Halogranum amylolyticum

3,JCM 2245,['J30'],Aspergillus oryzae viridis

4,JCM 28280,['J22'],Sphingopyxis

5,JCM 10061,['J26'],Agromyces

6,JCM 28015,['J30'],Gliomastix masseei

7,JCM 31808,['J1096'],Paralkalibacillus indicireducens

8,JCM 19095,['J746'],Gluconacetobacter takamatsuzukensis

9,JCM 31718,['J118'],Marinicauda algicola

10,JCM 2616,['J30'],Penicillium chrysogenum

11,JCM 5214,"['J25', 'J30']",Debaryomyces hansenii

12,JCM 5446,['J22'],Pseudomonas fragi

13,JCM 3709,"['J25', 'J30']",Hanseniaspora guilliermondii

14,JCM 19600,['J469'],Porphyromonas gingivalis

15,JCM 21548,['J101'],Alicyclobacillus acidoterrestris

16,JCM 22581,"['J30', 'J226']",Penicillium lividum

17,JCM 25075,"['J709', 'J710']",Acetobacter pasteurianus
18,JCM 22240,"['J30', 'J226']",Aspergillus clavatus
19,JCM 1456,"['J25', 'J30', 'J50', 'J153', 'J172']",Kregervanrija fluxuum
20,JCM 17924,['J346'],Hymenobacter koreensis
21,JCM 9814,"['J30', 'J148']",Ophiostoma
22,JCM 21458,['J596'],Marinilactibacillus psychrotolerans
23,JCM 1105,"['J13', 'J14', 'J25', 'J30', 'J41', 'J84']",Lactobacillus delbrueckii lactis
24,JCM 7915,['J30'],Claussenomyces prasinulus
25,JCM 22764,"['J30', 'J226']",Penicillium dierckxii
26,JCM 17277,['J118'],Tabrizicola aquatica
27,JCM 22498,"['J30', 'J226']",Penicillium sclerotiorum
28,JCM 21371,['J118'],Tenacibaculum
29,JCM 9199,"['J153', 'J188']",Malassezia furfur
30,JCM 6187,"['J25', 'J30']",Schwanniomyces vanrijiae vanrijiae
31,JCM 17141,"['J30', 'J226']",Penicillium expansum
32,JCM 13725,"['J25', 'J30']",Cryptococcus
33,JCM 30121,['J118'],Shewanella mangrovi
34,JCM 5344,"['J13', 'J84']",Lactobacillus paragasseri
35,JCM 4904,['J42'],Streptomyces nigrogriseolus
36,JCM 30413,['J1056'],Nitrosococcus halophilus
37,JCM 28248,['J22'],Sphingobium
38,JCM 19265,['J118'],Vibrio salilacus
