,Organism DSMZ ID,TaxonID,Organism Name,Media list
0,9849,46125,Abiotrophia defectiv, PYG-MEDIUM (modified)
1,14247,291968,Acaricomes phytoseiuli, TRYPTICASE SOY Yeast extract medium
2,23669,null,Acetatifactor muris,  For DSM 23669
3,5522,2382,Acetitomaculum ruminis, ACETITOMACULUM medium
4,1870,35830,Acetivibrio cellulolyticus, ACETIVIBRIO CELLULOLYTICUS MEDIUM
5,3005,290052,Acetivibrio ethanolgignens, PYG medium WITH VOLATILE FATTY ACIDS
6,6139,937251,Acetivibrio multivorans,  For DSM 6139
7,2002,435,Acetobacter aceti, GLUCONOBACTER OXYDANS medium
8,14362,178900,Acetobacter cerevisiae, YPM medium
9,15549,146475,Acetobacter cibinongensis, ACETIC ACID BACTERIUM medium
10,4493,104097,Acetobacter estunensis, GLUCONOBACTER OXYDANS medium
11,19596,483199,Acetobacter fabarum, MANNITOL-Yeast extract-Peptone (MYP)
12,18895,431306,Acetobacter ghanensis, MANNITOL-Yeast extract-Peptone (MYP)
13,15552,104101,Acetobacter indonesiensis, ACETIC ACID BACTERIUM medium
14,4491,104100,Acetobacter lovaniensis, GLUCONOBACTER OXYDANS medium
15,14337,178901,Acetobacter malorum, YPM medium
16,23921,285268,Acetobacter nitrogenifigens, MANNITOL-Yeast extract-Peptone (MYP)
17,23926,304077,Acetobacter oeni, YPM medium
18,15550,146474,Acetobacter orientalis, ACETIC ACID BACTERIUM medium
19,4492,104099,Acetobacter orleanensis, GLUCONOBACTER OXYDANS medium
20,2347,438,Acetobacter pasteurianus, ACETOBACTER PEROXYDANS medium
21,11825,65959,Acetobacter pomorum, RAE medium
22,18889,446692,Acetobacter senegalensis, YPM medium
23,15548,146476,Acetobacter syzygii, ACETIC ACID BACTERIUM medium
24,15551,104102,Acetobacter tropicalis, ACETIC ACID BACTERIUM medium
25,8239,52689,Acetobacterium bakii, ACETOBACTERIUM SP. medium
26,2925,52690,Acetobacterium carbinolicum, ACETOBACTERIUM CARBINOLICUM medium
27,11527,82116,Acetobacterium dehalogenans, ACETOBACTERIUM DEHALOGENANS medium
28,8238,52691,Acetobacterium fimetarium,  For DSM 8238
29,4132,52692,Acetobacterium malicum,  For DSM 4132
30,8237,52693,Acetobacterium paludosum, ACETOBACTERIUM SP. medium
31,5193,null,Acetobacterium sp., ACETOBACTERIUM SP. KoMAc1 medium
32,9173,132932,Acetobacterium tundrae, ACETOBACTERIUM TUNDRAE MEDIUM
33,1911,52694,Acetobacterium wieringae, ACETOBACTERIUM medium
