Anabaena ambigua,['C18']
Anabaena cylindrica,['C18']
Anabaena sp.,"['C17', '1592', 'C18']"
Aphanizomenon klebahnii,['C18']
Synechoccus sp.,['C10']
Trichormus variabilis,['C18']
Anabaena oscillarioides,['C17']
Dolichospermum flos-aquae,"['C40', 'C18']"
Nostoc sp.,"['1592', '1593', '1672', 'C18']"
Dolichospermum circinale,['C40']
Dolichospermum solitarium,['C40']
Gloeocapsa atrata,['C17']
Anacystis montana fo. minor,['C17']
Synechococcus leopoliensis,['C40']
Phormidium breve,['C10']
Calothrix viguieri,['C18']
Calothrix crustacea,['C10']
Calothrix parietina,"['C40', 'C18']"
Chlorogloeopsis fritschii,['C40']
Chlorogloea sp.,['C17']
Chroococcus sp.,"['1677', '1679', '1673', '1593', 'C10']"
Aphanothece elabens,['C10']
Chroogloeocystis siderophila,['C17']
Desertifilum tharense,['C17']
Euhalothece sp.,['C10']
Entophysalis rivularis,['C17']
Chalicogloea cavernicola,['C17']
Gloeocapsopsis crepidinum,['C10']
Fischerella muscicola,"['C17', 'C18']"
Fischerella sp.,['C40']
Fischerella ambigua,['C18']
Gloeothece sp.,['C40']
Gloeothece membranacea,['C17']
Gloeotrichia echinulata,['C17']
Gloeotrichia sp.,['C17']
Gloeomargarita lithophora,['C17']
Kamptonema animale,['C17']
Leptolyngbya sp.,"['1677', '1678', '1593', 'C10']"
Nunduva britannica,['C10']
Anabaena inaequalis,['C18']
Leptolyngbya boryana,['C17']
Limnoraphis robusta,['C10']
Lyngbya sp.,"['C17', '1676', '1673', '1672']"
Lyngbya autumnalis,['C17']
Merismopedia glauca,['C17']
Merismopedia punctata,['C17']
Merismopedia convoluta,['C17']
Microcystis aeruginosa,"['C17', 'C40', '1732']"
Synechococcus sp.,"['C17', '1677', 'C40', '1593', 'C10']"
Microcystis sp.,['C17']
Nodularia harveyana,['C10']
Nodularia sp.,"['1672', 'C10']"
Nostoc calcicola,['C18']
Nostoc punctiforme,"['1592', 'C18']"
Nostoc muscorum,"['C17', '1592', 'C18']"
Nostoc ellipsosporum,['C18']
Nostoc commune var. flagelliforme,['C18']
Oscillatoria lutea var. contorta,['C17']
Oscillatoria nigroviridis,['C10']
Tychonema bourrellyi,"['C17', 'C40']"
Oscillatoria sp.,"['1673', 'C10']"
Planktothrix agardhii,"['C17', 'C40']"
Planktothrix rubescens,"['C17', '1732']"
Oscillatoria amoena,['C40']
Planktothrix sp.,['C17']
Phormidium autumnale,['C17']
Phormidium uncinatum,['C17']
Phormidium inundatum,['C17']
Phormidium sp.,"['C17', '1593', '1673']"
Schizothrix sp.,['C17']
Schizothrix calcicola,['C17']
Schizothrix fragilis,['C17']
Spirulina subsalsa,"['1677', 'C10']"
Spirulina major,['C10']
Limnospira maxima,['C10']
Symploca muscorum,['C40']
Synechococcus elongatus,"['C17', 'C40', '1593a']"
Cyanobium bacillare,"['C17', 'C10']"
Rhabdoderma lineare,['C10']
Synechocystis bourrellyi,['C17']
Synechocystis sp.,"['C17', '1593']"
Synechocystis limnetica,['C17']
Tolypothrix distorta var. symplocoides,['C17']
Tolypothrix tenuis,['C17']
Melittangium lichenicola,"['1209', 'J729', '222', '11', 'J118', '67', '514', '535', '9', '1273', '1234', '215', '429', 'J794']"
