,0,1
0,CCAP379/12,['C79']
1,CCAP1318/193,['C56']
2,CCAP258/71,['C14']
3,CCAP222/63,['C14']
4,CCAP271/1,['C14']
5,CCAP379/41,['C14']
6,CCAP680/1,['C14']
7,CCAP1501/10,['C68']
8,CCAP1310/274,['C56']
9,CCAP1018/1,['C37']
10,CCAP1306/16,['C56']
11,CCAP248/9,['C14']
12,CCAP679/9,['C59']
13,CCAP276/56,['C14']
14,CCAP940/1C,['C34']
15,CCAP1318/146,['C56']
16,CCAP1306/20,['C56']
17,CCAP217/6,['C14']
18,CCAP1119/40,['C45']
19,CCAP1310/242,['C56']
20,CCAP222/42,['C14']
21,CCAP1318/23,['C56']
22,CCAP1134/9,['C45']
23,CCAP1310/234,['C56']
24,CCAP1393/7,['C56']
25,CCAP258/127,['C14']
26,CCAP386/2,['C14']
27,CCAP258/121,['C14']
28,CCAP1117/9,['C45']
29,CCAP1318/247,['C56']
30,CCAP1540/2,['C68']
31,CCAP67/23,['C34']
32,CCAP66/50,['C95']
33,CCAP815/1,['C35']
34,CCAP1318/334,['C56']
35,CCAP1119/52,['C45']
36,CCAP258/197,['C14']
37,CCAP6038/1,['C56']
38,CCAP1910/4,['C58']
39,CCAP1565/14,['C68']
40,CCAP1310/132,['C56']
41,CCAP1003/3,['C37']
42,CCAP950/1,['C47']
43,CCAP1306/11,['C56']
44,CCAP1306/21,['C56']
45,CCAP1318/282,['C56']
46,CCAP1010/40,['C37']
47,CCAP1403/12,['C18']
48,CCAP216/14,['C79']
49,CCAP1283/8,['C41']
50,CCAP1310/331,['C56']
51,CCAP1535/1,['C92']
52,CCAP258/147,['C14']
53,CCAP219/2,['C13']
54,CCAP1647/1,['C58']
55,CCAP1450/7,['C17']
56,CCAP1901/3,['C12']
57,CCAP276/32,['C14']
58,CCAP1534/17,['C68']
59,CCAP1224/7A,['C27']
60,CCAP1052/6,['C37']
61,CCAP504/1,['C34']
62,CCAP11/13,"['C1', 'C14']"
63,CCAP1453/9,['C18']
64,CCAP202/10B,['C40']
65,CCAP211/7A,['C14']
66,CCAP1310/326,['C56']
67,CCAP1310/64,['C56']
68,CCAP1310/320,['C56']
69,CCAP1405/1,['C40']
70,CCAP258/2,['C14']
71,CCAP1055/8,['C37']
72,CCAP222/2D,['C14']
73,CCAP11/167,['C14']
74,CCAP258/5,['C14']
75,CCAP248/11,['C14']
76,CCAP1452/1,['C10']
77,CCAP1318/258,['C56']
78,CCAP1318/123,['C56']
79,CCAP1382/4,['C13']
80,CCAP19/6B,['C34']
81,CCAP1220/2,['C58']
82,CCAP5/3,['C14']
83,CCAP1011/1,['C25']
84,CCAP1224/13B,['C41']
85,CCAP612/18,['C59']
86,CCAP934/5,['C35']
87,CCAP66/38,['C95']
88,CCAP66/72,['C95']
89,CCAP1310/222,['C56']
90,CCAP222/62,['C14']
91,CCAP276/48,['C14']
92,CCAP276/25,['C14']
93,CCAP1318/33,['C56']
94,CCAP477/11B,['C59']
95,CCAP66/1A,['C95']
96,CCAP258/150,['C14']
97,CCAP19/12,['C34']
98,CCAP1910/2,['C92']
99,CCAP1310/74,['C56']
100,CCAP1361/12,['C56']
101,CCAP1224/8C,['C41']
102,CCAP258/148,['C14']
103,CCAP211/9C,['C40']
104,CCAP1001/1,['C30']
105,CCAP11/94,['C14']
106,CCAP931/6,['C34']
107,CCAP1310/212,['C56']
108,CCAP1360/4,['C4']
109,CCAP1393/6,['C56']
110,CCAP379/9,['C79']
111,CCAP1310/341,['C56']
112,CCAP258/19,['C14']
113,CCAP66/22D,['C95']
114,CCAP258/140,['C14']
115,CCAP202/3B,['C79']
116,CCAP219/5B,['C14']
117,CCAP379/1B,['C79']
118,CCAP258/136,['C14']
119,CCAP1572/4,['C68']
120,CCAP1310/99,['C56']
121,CCAP1304/1,['C40']
122,CCAP190/2,['C34']
123,CCAP881/1,['C14']
124,CCAP920/12,['C34']
125,CCAP1111/1,['C44']
126,CCAP221/7,['C14']
127,CCAP1361/14,['C56']
128,CCAP1310/157,['C56']
129,CCAP849/6,['C95']
130,CCAP1922/1,['C106']
131,CCAP1318/237,['C56']
132,CCAP1119/31,['C45']
133,CCAP66/22A,['C34']
134,CCAP1630/1P,['C81']
135,CCAP1318/124,['C56']
136,CCAP1310/171,['C56']
137,CCAP1306/3,['C56']
138,CCAP1310/63,['C56']
139,CCAP1310/213,['C56']
140,CCAP1318/399,['C56']
141,CCAP1588/9,['C12']
142,CCAP413/2,['C14']
143,CCAP258/200,['C14']
144,CCAP19/7C,['C34']
145,CCAP1525/3,['C68']
146,CCAP202/18,['C27']
147,CCAP66/19C,['C95']
148,CCAP218/6,['C14']
149,CCAP1119/20,['C45']
150,CCAP1061/45,['C37']
151,CCAP1052/1A,['C37']
152,CCAP1318/254,['C56']
153,CCAP1318/414,['C56']
154,CCAP276/43,['C14']
155,CCAP276/60,['C14']
156,CCAP1905/1,['C92']
157,CCAP1453/12,['C18']
158,CCAP1050/13,['C37']
159,CCAP66/86,['C34']
160,CCAP1086/2,['C37']
161,CCAP258/38,['C14']
162,CCAP11/78,['C34']
163,CCAP258/228,['C14']
164,CCAP287/2,['C14']
165,CCAP222/23,['C14']
166,CCAP1318/275,['C56']
167,CCAP62/2C,['C78']
168,CCAP66/43,['C47']
169,CCAP1136/27,['C45']
170,CCAP1310/146,['C56']
171,CCAP1310/161,['C56']
172,CCAP258/282,['C14']
173,CCAP1690/3,['C64']
174,CCAP1411/1A,['C40']
175,CCAP1318/269,['C56']
176,CCAP66/66,['C95']
177,CCAP260/10,['C14']
178,CCAP1054/4,['C37']
179,CCAP1310/285,['C56']
180,CCAP813/3,['C79']
181,CCAP1224/19B,['C41']
182,CCAP960/5,['C59']
183,CCAP929/1,['C41']
184,CCAP258/50,['C14']
185,CCAP1052/12,['C37']
186,CCAP1405/3,['C17']
187,CCAP1310/95,['C56']
188,CCAP1446/9,['C17']
189,CCAP1588/14,['C68']
190,CCAP1318/418,['C56']
191,CCAP211/57,['C26']
192,CCAP1310/164,['C56']
193,CCAP335/2B,['C14']
194,CCAP1306/25,['C56']
195,CCAP211/34,['C79']
196,CCAP14/2,['C14']
197,CCAP979/44,['C59']
198,CCAP1583/15,['C68']
199,CCAP408/1,['C14']
200,CCAP1119/15,['C45']
201,CCAP1520/1,['C66']
202,CCAP880/4,['C14']
203,CCAP1660/3E,['C99']
204,CCAP384/3,['C14']
205,CCAP1314/4,['C56']
206,CCAP1589/18,['C58']
207,CCAP1902/1,['C12']
208,CCAP1569/1,['C69']
209,CCAP1630/6B,['C81']
210,CCAP1348/3,['C34']
211,CCAP1310/277,['C56']
212,CCAP1616/1,['C99']
213,CCAP1060/4,['C37']
214,CCAP1603/1,['C34']
215,CCAP808/1,['C59']
216,CCAP1660/23,['C63']
217,CCAP211/11N,['C14']
218,CCAP1318/306,['C56']
219,CCAP1310/264,['C56']
220,CCAP211/105,['C14']
221,CCAP112/1,['C14']
222,CCAP1119/39,['C45']
223,CCAP880/5,['C14']
224,CCAP258/273,['C14']
225,CCAP1588/1A,['C68']
226,CCAP2365/1,['C56']
227,CCAP258/11,['C14']
228,CCAP1318/207,['C56']
229,CCAP66/25,['C95']
230,CCAP1310/163,['C56']
231,CCAP222/32,['C14']
232,CCAP1915/7,['C63']
233,CCAP6005/13,['C47']
234,CCAP1957/9,['C63']
235,CCAP1450/13,['C17']
236,CCAP1950/1,['C12']
237,CCAP1063/2,['C37']
238,CCAP1318/278,['C56']
239,CCAP1310/58,['C56']
240,CCAP258/221,['C14']
241,CCAP935/15,['C58']
242,CCAP1957/12,['C63']
243,CCAP1350/12,['C4']
244,CCAP53/1,['C14']
245,CCAP258/10,['C14']
246,CCAP1310/96,['C56']
247,CCAP612/1B,['C59']
248,CCAP1915/9,['C63']
249,CCAP216/12,['C79']
250,CCAP258/3,['C14']
251,CCAP1318/26,['C56']
252,CCAP6/2,['C34']
253,CCAP19/43,['C34']
254,CCAP1318/171,['C56']
255,CCAP1534/11,['C68']
256,CCAP1310/334,['C56']
257,CCAP258/30,['C14']
258,CCAP1310/217,['C56']
259,CCAP1055/4,['C37']
260,CCAP202/19,['C79']
261,CCAP909/3,['C47']
262,CCAP258/210,['C14']
263,CCAP1059/2,['C37']
264,CCAP1310/246,['C56']
265,CCAP1410/10,['C40']
266,CCAP221/5,['C14']
267,CCAP1318/395,['C56']
268,CCAP211/98,['C14']
269,CCAP11/7,"['C14', 'C34']"
270,CCAP1350/15,['C56']
271,CCAP1310/38,['C56']
272,CCAP1310/182,['C56']
273,CCAP1571/3,['C68']
274,CCAP1310/298,['C56']
275,CCAP1369/4,['C4']
276,CCAP1310/286,['C56']
277,CCAP1534/13,['C68']
278,CCAP32/30,['C14']
279,CCAP211/106,['C14']
280,CCAP1397/1,['C34']
281,CCAP276/8,['C79']
282,CCAP1394/2,['C13']
283,CCAP1112/1,['C45']
284,CCAP211/102,['C14']
285,CCAP1325/3,['C56']
286,CCAP278/2G,['C79']
287,CCAP2502/5,['C63']
288,CCAP258/18,['C14']
289,CCAP980/1,['C94']
290,CCAP258/62,['C14']
291,CCAP258/9,['C14']
292,CCAP1459/10,['C17']
293,CCAP1446/2,['C17']
294,CCAP649/22,['C59']
295,CCAP1029/25,['C37']
296,CCAP1310/159,['C56']
297,CCAP1204/17B,['C99']
298,CCAP1310/289,['C56']
299,CCAP66/8,"['C34', 'C95']"
300,CCAP1318/240,['C56']
301,CCAP1318/324,['C56']
302,CCAP379/22,['C79']
303,CCAP32/42,['C14']
304,CCAP1119/25,['C45']
305,CCAP1369/3,['C4']
306,CCAP66/62,['C95']
307,CCAP1049/1,['C37']
308,CCAP1453/22,['C18']
309,CCAP258/208,['C14']
310,CCAP1310/236,['C56']
311,CCAP1453/27,['C18']
312,CCAP222/52,['C14']
313,CCAP1314/6,['C56']
314,CCAP1310/118,['C56']
315,CCAP1010/24,['C37']
316,CCAP1318/4,['C56']
317,CCAP258/287,['C14']
318,CCAP1318/404,['C56']
319,CCAP1310/214,['C56']
320,CCAP247/2,['C14']
321,CCAP413/1,['C14']
322,CCAP1446/7,['C17']
323,CCAP276/33,['C14']
324,CCAP1918/1,['C58']
325,CCAP1571/4,['C109']
326,CCAP1310/111,['C56']
327,CCAP1318/252,['C56']
328,CCAP1318/92,['C56']
329,CCAP1630/1W,['C81']
330,CCAP258/249,['C14']
331,CCAP1357/2,['C56']
332,CCAP6006/9,['C34']
333,CCAP1310/39,['C56']
334,CCAP6006/6,['C34']
335,CCAP1976/8,['C63']
336,CCAP1310/231,['C56']
337,CCAP1224/48,['C13']
338,CCAP217/1A,['C79']
339,CCAP66/6,['C95']
340,CCAP202/4E,['C79']
341,CCAP11/49,['C14']
342,CCAP258/25,['C14']
343,CCAP211/46,['C34']
344,CCAP240/2,['C14']
345,CCAP1077/1B,['C37']
346,CCAP1318/227,['C56']
347,CCAP258/159,['C14']
348,CCAP835/3,['C14']
349,CCAP1060/8,['C37']
350,CCAP1306/46,['C56']
351,CCAP1018/2,['C37']
