,0,1
0,DSM 52920,['9']
1,DSM 23490,['830']
2,DSM 105524,['830']
3,DSM 12412,"['952', '953', 'J23', 'J24']"
4,DSM 11944,"['129', '186']"
5,DSM 100694,['693']
6,DSM 109746,['1429']
7,DSM 16404,"['92', '514', 'J118', 'J569']"
8,DSM 106003,"['129', '186']"
9,DSM 51255,['9']
10,DSM 8701,['381']
11,DSM 13415,"['215', '438', '693']"
12,DSM 107139,['65']
13,DSM 29126,"['92', '693', 'J28']"
14,DSM 51854,['9']
15,DSM 100537,['104']
16,DSM 26501,['514']
17,DSM 52688,['9']
18,DSM 22028,"['104b', 'J14', 'J674', 'J676']"
19,DSM 51205,['9']
20,DSM 18676,['1']
21,DSM 15942,"['92', 'J26']"
22,DSM 13496,"['883', 'J236']"
23,DSM 8304,['90']
24,DSM 41844,"['65', '84']"
25,DSM 101469,['830']
26,DSM 11779,['78']
27,DSM 116237,['1076b']
28,DSM 52359,['9']
29,DSM 112538,['514f']
30,DSM 20184,"['11', 'J13', 'J84']"
31,DSM 30588,['220']
32,DSM 41316,"['65', '84']"
33,DSM 26640,"['514', 'J118']"
34,DSM 44618,"['910', '1159']"
35,DSM 6651,['190']
36,DSM 29965,['514']
37,DSM 13666,"['215', 'J181']"
38,DSM 52608,['9']
39,DSM 45447,"['553', '987']"
40,DSM 8324,"['215', '693']"
41,DSM 52517,['9']
42,DSM 28152,['514']
43,DSM 827,"['129', '195a', '298b', '807']"
44,DSM 107362,"['830', 'J26']"
45,DSM 18034,['163']
46,DSM 53320,['9']
47,DSM 9682,"['92', '693', '696']"
48,DSM 26320,"['1', '535']"
49,DSM 102933,['1']
50,DSM 660,"['63', '80', '81', '220', '220a', '457', '535']"
51,DSM 52647,['9']
52,DSM 23148,"['220', 'J75']"
53,DSM 45044,"['65', '554', 'J61']"
54,DSM 18498,['830']
55,DSM 40878,"['65', '252']"
56,DSM 23190,['535']
57,DSM 10001,"['65', '339', '429', '514', '804', '898a', '898b', '1203', 'J26', 'J43', 'J1077', 'J1078']"
58,DSM 29043,"['514c', 'J118']"
59,DSM 6104,['1']
60,DSM 51790,['9']
61,DSM 45365,"['65', '252', '553', 'J61']"
62,DSM 13111,"['11', '1430']"
63,DSM 51466,['9']
64,DSM 3557,['90']
65,DSM 20548,"['104', 'J14', 'J84']"
66,DSM 21624,"['220', 'J652']"
67,DSM 44970,['65']
68,DSM 101470,['92']
69,DSM 9653,"['545', '763']"
70,DSM 23952,"['1271', 'J852']"
71,DSM 113008,"['693', '1203a']"
72,DSM 113527,['830']
73,DSM 110158,"['78', '693']"
74,DSM 19979,['1217']
75,DSM 43803,"['65', '84', '553', 'J42']"
76,DSM 535,"['9', '65', '182', '372', '514b', '535', '593', '693', '938', 'J57', 'J169', 'J599']"
77,DSM 53511,['9']
78,DSM 4895,['90']
79,DSM 43637,"['354', '645', 'J712']"
80,DSM 7030,"['186', '262', '693', 'J25', 'J30']"
81,DSM 112071,['381']
82,DSM 45873,"['65', 'J104']"
83,DSM 5159,"['9', '592']"
84,DSM 53316,['9']
85,DSM 12540,['514']
86,DSM 113518,['830']
87,DSM 4849,['92']
88,DSM 105717,"['1', '535']"
89,DSM 26713,['104']
90,DSM 111129,"['1', '535']"
91,DSM 113763,['1']
92,DSM 12251,['628']
93,DSM 100865,"['92', '693']"
94,DSM 50857,"['1', '54']"
95,DSM 51311,['9']
96,DSM 100295,['1560']
97,DSM 30779,['220']
98,DSM 45863,"['65', '84']"
99,DSM 24478,['1007']
100,DSM 103175,['830']
101,DSM 101673,"['65', '84']"
102,DSM 18958,['1']
103,DSM 24901,['514']
104,DSM 113975,['514']
105,DSM 53487,['9']
106,DSM 15728,['104b']
107,DSM 12418,"['1', '457']"
108,DSM 70464,['186']
109,DSM 51452,['9']
110,DSM 41738,"['65', '84']"
111,DSM 14994,['1526']
112,DSM 53018,['9']
113,DSM 45394,"['645', 'J386']"
114,DSM 16356,"['795a', 'J417']"
115,DSM 28233,['830']
116,DSM 16660,['187']
117,DSM 52334,['9']
118,DSM 2301,"['1', '220', '514']"
119,DSM 43421,"['65', '83']"
120,DSM 52580,['9']
121,DSM 109514,['220']
