,0,1
0,JCM 21479,['J118']
1,JCM 3343,"['J26', 'J43', 'J346', 'J1253']"
2,JCM 16428,['J574']
3,JCM 2245,['J30']
4,JCM 28280,['J22']
5,JCM 10061,['J26']
6,JCM 28015,['J30']
7,JCM 31808,['J1096']
8,JCM 19095,['J746']
9,JCM 31718,['J118']
10,JCM 2616,['J30']
11,JCM 5214,"['J25', 'J30']"
12,JCM 5446,['J22']
13,JCM 3709,"['J25', 'J30']"
14,JCM 19600,['J469']
15,JCM 21548,['J101']
16,JCM 22581,"['J30', 'J226']"
17,JCM 25075,"['J709', 'J710']"
18,JCM 22240,"['J30', 'J226']"
19,JCM 1456,"['J25', 'J30', 'J50', 'J153', 'J172']"
20,JCM 17924,['J346']
21,JCM 9814,"['J30', 'J148']"
22,JCM 21458,['J596']
23,JCM 1105,"['J13', 'J14', 'J25', 'J30', 'J41', 'J84']"
24,JCM 7915,['J30']
25,JCM 22764,"['J30', 'J226']"
26,JCM 17277,['J118']
27,JCM 22498,"['J30', 'J226']"
28,JCM 21371,['J118']
29,JCM 9199,"['J153', 'J188']"
30,JCM 6187,"['J25', 'J30']"
31,JCM 17141,"['J30', 'J226']"
32,JCM 13725,"['J25', 'J30']"
33,JCM 30121,['J118']
34,JCM 5344,"['J13', 'J84']"
35,JCM 4904,['J42']
36,JCM 30413,['J1056']
37,JCM 28248,['J22']
38,JCM 19265,['J118']
39,JCM 10817,"['J30', 'J148']"
40,JCM 1005,"['J13', 'J25', 'J26', 'J30', 'J84']"
41,JCM 2642,['J12']
42,JCM 1373,"['J25', 'J26', 'J30', 'J75']"
43,JCM 19418,['J30']
44,JCM 21452,['J596']
45,JCM 17680,"['J74', 'J75']"
46,JCM 32234,['J30']
47,JCM 32415,['J475']
48,JCM 6491,"['J14', 'J84']"
49,JCM 18342,"['J30', 'J148']"
50,JCM 2737,['J30']
51,JCM 28336,['J30']
52,JCM 19447,['J346']
53,JCM 10769,['J14']
54,JCM 7493,"['J25', 'J30']"
55,JCM 3955,['J12']
