index,name,id,correlation,significance,mass,cor_type
0,CaCO3,13,0.4110532692256793,8.716163149929053e-208,100.09,Pos
1,Agar,3,0.380317941769544,1.0079445654416321e-175,unknown,Pos
2,Malt extract,116,0.346752820833017,1.8931339992436332e-144,unknown,Pos
3,Rolled oats,188,0.2978190867958987,2.8292599932253737e-105,unknown,Pos
4,Starch,199,0.2293087344370312,5.173019691812421e-62,unknown,Pos
5,N-Z amine,1608,0.1764052534026276,5.001001256875457e-37,unknown,Pos
6,V8 canned vegetable juice,1616,0.16291382716969,9.263377974771612e-32,unknown,Pos
7,Distilled water,4,0.1508674377258999,2.006564576911365e-27,18.0153,Pos
8,(NH4)2SO4,27,0.1506019752274295,2.478135446630132e-27,132.14,Pos
9,Glucose,5,0.1426222401536535,1.1812576167186748e-24,180.16,Pos
10,Oatmeal,471,0.1407174169389598,4.8930202314017566e-24,unknown,Pos
11,Oatmeal agar,1611,0.0975716279482195,2.686228258699105e-12,unknown,Pos
12,Dextrose,60,0.0967023636206223,4.189544126621202e-12,198.17,Pos
13,L-Asparagine,829,0.0870884424028879,4.408506763889804e-10,132.12,Pos
14,Sucrose,108,0.076132982611577,4.9931411334853896e-08,342.3,Pos
15,Sodium pyruvate,438,0.0757946697579664,5.7225959749202577e-08,110.04,Pos
16,Middlebrook 7H10 agar,1748,0.0653954655096679,2.856168410655556e-06,unknown,Pos
17,Peptone,1,0.0619204792426591,9.350375892301794e-06,unknown,Pos
18,KNO3,191,0.0581204764343348,3.193199036380326e-05,101.103,Pos
19,N-Acetylglucosamine,462,0.0560159494589771,6.113523531608684e-05,221.21,Pos
20,Mannitol,6,0.0553705796918374,7.428316819730235e-05,182.17,Pos
21,Bacto Middlebrook 7H10 agar,635,0.05389195191684,0.0001151768773109,unknown,Pos
22,CaCl2 x 7 H2O,479,0.0502740729947337,0.0003219596462884,110.983,Pos
23,Beef extract,85,0.0466937408835051,0.0008362583384154,unknown,Pos
24,Na-malate,477,0.0454007223225156,0.001162577832649,178.051,Pos
25,HEPES,371,0.044680057307488,0.0013920308052312,238.3,Pos
26,Oat flakes,292,0.0426191674991885,0.0022981079075409,unknown,Pos
27,alpha-lipoic acid,141,0.0424608654245175,0.0023863180600975,206.33,Pos
28,Nicotine amide,140,0.0424608654245175,0.0023863180600975,122.12,Pos
29,Folic acid,138,0.0424608654245175,0.0023863180600975,441.4,Pos
30,Double distilled water,1021,0.0421862089067291,0.0025467480818733,18.0153,Pos
