,name,cultures,taxid,sci_name,chromosome_numbers,genome_size,genome_gc_content,gene_counts,protein_coding_genes
0,Anabaena cylindrica,['C18'],272123,Anabaena cylindrica PCC 7122,7,7063285,2739890,6179,5917
1,Trichormus variabilis,['C18'],375899,Trichormus variabilis 0441,5,7096012,2937904,5971,5820
2,Anabaena oscillarioides,['C17'],272123,Anabaena cylindrica PCC 7122,7,7063285,2739890,6179,5917
3,Dolichospermum flos-aquae,"['C40', 'C18']",315271,Dolichospermum flos-aquae CCAP 1403/13F,2,5220684,1991558,4985,4715
4,Dolichospermum solitarium,['C40'],1973481,Dolichospermum compactum NIES-806,1,5165988,1935053,4818,4550
5,Synechococcus leopoliensis,['C40'],1140,Synechococcus elongatus PCC 7942 = FACHB-805,2,2742269,1519940,2767,2706
6,Phormidium breve,['C10'],2940671,Phormidium yuhuli AB48,2,4799068,2478720,4176,4084
7,Chalicogloea cavernicola,['C17'],279322,Cutaneotrichosporon cavernicola,8,20237334,11835455,7753,7753
8,Gloeothece sp.,['C40'],65393,Gloeothece citriformis PCC 7424,7,6554169,2523998,5939,5774
9,Gloeothece membranacea,['C17'],65393,Gloeothece citriformis PCC 7424,7,6554169,2523998,5939,5774
10,Gloeomargarita lithophora,['C17'],1188229,Gloeomargarita lithophora Alchichica-D10,1,3049282,1565367,3062,2975
11,Anabaena inaequalis,['C18'],272123,Anabaena cylindrica PCC 7122,7,7063285,2739890,6179,5917
12,Leptolyngbya boryana,['C17'],411966,Leptolyngbya boryana IAM M-101,4,6803468,3198128,6420,6283
13,Nostoc punctiforme,"['1592', 'C18']",63737,Nostoc punctiforme PCC 73102,6,9059191,3746385,7702,7314
14,Planktothrix agardhii,"['C17', 'C40']",1160,Planktothrix agardhii,6,4904228,1945950,4494,4349
15,Phormidium uncinatum,['C17'],2940671,Phormidium yuhuli AB48,2,4799068,2478720,4176,4084
16,Phormidium inundatum,['C17'],2940671,Phormidium yuhuli AB48,2,4799068,2478720,4176,4084
17,Synechococcus elongatus,"['C17', 'C40', '1593a']",1140,Synechococcus elongatus PCC 7942 = FACHB-805,2,2742269,1519940,2767,2706
18,Melittangium lichenicola,"['1209', 'J729', '222', '11', 'J118', '67', '514', '535', '9', '1273', '1234', '215', '429', 'J794']",1294270,Melittangium boletus DSM 14713,1,9910441,6782656,8200,8038
19,Bradyrhizobium oligotrophicum,"['953', 'J14', 'J74', 'J346', 'J118', 'J75', '952', 'J24', 'J661', 'J23']",1245469,Bradyrhizobium oligotrophicum S58,1,8264165,5382140,7274,7132
20,Arthrobacter parietis,"['J569', '92', 'J118', '514']",37921,Arthrobacter agilis,4,3786308,2575820,3570,3488
21,Corallococcus coralloides,"['90', 'J436', 'J124', '1266', '67', '9', '222']",1144275,Corallococcus coralloides DSM 2259,1,10080619,7046043,8155,8042
22,Escherichia coli,"['634c', 'J429', '141c', '995', '1669', '987', 'J12', '92', '830a', '1459', '514d', '306', '133', '1635', 'J1013', '514c', '58', '238', '1484', '514', 'J475', '93', '31', '606', 'J398', '403', '553', '186', 'J75', '1025', '63', '269', 'J156', '104', '513', '548', '1775', '213', '1523', 'J27', '1167', '1715', '237', '944a', '9', 'J443', '429', 'J1230', '136', '110', '372', 'J181', '1076b', '554', 'J1130', '988', '54a', '215c', '1253', '1040', '11', '325', '456', '122', '104b', '1203', 'J256', '54', '84', '830', '104c', '924', 'J61', '1250', '105', 'J254', '1', '1684', '83', '1a', '119', '382', '948', 'J43', '462', 'J111', '78', '518', 'J14', '694', '110a', 'J302', 'J118', 'J415', '1611', '1163', 'J168', '907', '1714', '330', '54b', '90', '545', '1270', 'J59', 'J66', '794', 'J998', 'J1162', '232', '1660', '464', '381', '1160', '298', '120d', 'J346', '1277b', '785', '98', '641', '1203a', 'J25', '590', '370', '240', '252', '398', 'J180', '88c', '231', '394', '35', '65', 'J1291', '428', 'J57', '535b', '544', '101', '840', '585a', 'J386', '310', '693', 'J22', '1560', 'J1251', '255', 'J598', '212', '1713', '339a', '514f', '189', '1135', '250', '1113', '1015', 'J30', '220a', 'J1052', 'J282', '191', '645', '354', '585', '1429', 'J52', '129', '1144', '1697', '546', '215', '450', '505', '339', '661', 'J28', '426', '194', '655', '535', '1011a', 'J13', '465b', 'J677', 'J74', '220', 'J1227', '246', '1010', 'J26', '434']",386585,Escherichia coli O157:H7 str. Sakai,3,5594605,2824389,5417,5155
23,Bordetella parapertussis,"['438', '215', '693']",519,Bordetella parapertussis,1,4773835,3250994,4517,4228
24,Streptococcus parasuis,"['J28', '693', '92']",1501662,Streptococcus parasuis,1,2197342,878407,2202,2072
25,Alteromonas mediterranea,['514'],314275,Alteromonas mediterranea,2,4652214,2071450,4089,3978
26,Caldivirga maquilingensis,"['J236', '883']",397948,Caldivirga maquilingensis IC-167,1,2077567,895345,2088,2038
27,Clostridium perfringens,"['J84', '90', '189', '220a', '104b', '1203', '514', '191', '830', '129', '1203a', '1', '130', '339', '194', '190', '461', 'J13', '78', 'J14', '110', '458', '693']",1502,Clostridium perfringens,2,3275424,931567,2975,2833
28,Vibrio campbellii,"['J22', 'J7', '514f', '514']",680,Vibrio campbellii,2,5425575,2471695,4925,4718
29,Companilactobacillus farciminis,"['J84', 'J13', '11']",936140,Companilactobacillus farciminis KCTC 3681 = DSM 20184,1,2551839,929799,2546,2458
30,Micrococcus luteus,"['J388', 'J22', '1008', '92', 'J541', 'J475', '309', '830', 'J346', '641', '1', '513', 'J28', '535', 'J443', 'J14', 'J677', '496', '220', 'J26', '693']",1270,Micrococcus luteus,2,2543764,1855277,2351,2259
31,Phaeobacter gallaeciensis,"['J118', '514']",1423144,Phaeobacter gallaeciensis DSM 26640,8,4540155,2698552,4379,4279
32,Phaeobacter inhibens,['514'],221822,Phaeobacter inhibens,6,4248079,2542868,4021,3927
33,Archangium gephyra,"['J14', 'J423', '282a', '110', '830', '339a', '1542', 'J232', '9', '104', '1', '222', '693']",48,Archangium gephyra,1,12489432,8673757,10001,9822
34,Aggregatibacter actinomycetemcomitans,"['J14', 'J84', 'J70', '215', '535', 'J156', 'J256', '1', '514', '693']",714,Aggregatibacter actinomycetemcomitans,1,2109143,938334,2074,1911
35,Sorangium cellulosum,"['1277', '830', 'J436', 'J28', 'J925', '92', '223', '514', '736', '535', '9', 'J13', '58', '938', '693']",448385,Sorangium cellulosum So ce56,1,13033779,9302956,9700,9574
36,Streptococcus suis,"['696', '693', '92']",568814,Streptococcus suis BM407,2,2170808,890299,2136,1997
37,Massilia consociata,"['1', '535']",2765360,Massilia antarctica,1,7432405,4740518,6517,6314
38,Acinetobacter baumannii,"['220', 'J12', '92', '381', '1', '215', '693']",470,Acinetobacter baumannii,2,3980230,1551782,3736,3599
39,Streptomyces griseus subsp. griseus,"['J22', '90', '545', 'J66', '1700', '987', '514f', '92', '11', '381', '58', '1484', '514', '84', 'J475', 'J50', '830', 'J720', 'J58', 'J61', '129', '104', '1076', 'J44', '1', '215', '1775', 'J19', '252', 'J28', 'J27', 'J45', 'J43', '535', 'J13', '429', '65', 'J14', '220', '53', 'J118', '1076b', '554', 'J26', '693']",455632,Streptomyces griseus subsp. griseus NBRC 13350,1,8545929,6172503,7227,7012
40,Luteibacter anthropi,['535'],564369,Luteibacter anthropi,1,4961663,3186115,4262,4178
41,Haemophilus influenzae,"['65', '339', 'J1270', '898a', '898b', 'J43', '92', 'J1078', '804', '1203', 'J1077', 'J26', '514', '429', '693']",727,Haemophilus influenzae,1,1846259,704485,1834,1700
42,Bacillus thuringiensis,"['J84', 'J22', '90', 'J598', 'J97', '58', 'J475', '129', '105', '186', '104', '1203a', '1', '339', '360', '78', 'J14', '110', '220', '693']",527031,Bacillus thuringiensis serovar berliner ATCC 10792,1,6260142,2171220,6490,6171
43,Micromonospora maris,"['252', 'J61', '553', '65']",263358,Micromonospora maris AB-18-032,2,6732271,4769808,6076,5917
44,Pseudonocardia autotrophica,"['J57', 'J599', 'J169', '514b', '372', '214', '593', '535', '9', '80', '182', '81', '938', '65', '693']",2074,Pseudonocardia autotrophica,2,7535285,5488256,7108,6939
45,Paenibacillus larvae,"['J30', '1', '186', 'J25', '262', '693']",147375,Paenibacillus larvae subsp. larvae,3,4378174,1935010,4505,4194
46,Thermomicrobium roseum,"['592', '9']",309801,Thermomicrobium roseum DSM 5159,2,2920744,1877592,2625,2551
47,Schaalia naturae,['104'],888050,Schaalia cardiffensis F0333,1,2230588,1370546,1835,1745
48,Myroides odoratimimus,"['693', '92']",76832,Myroides odoratimimus,2,3938030,1346722,3593,3426
49,Xanthomonas hortorum,"['54', '1']",56454,Xanthomonas hortorum,2,5250904,3340794,4551,4285
50,Stieleria neptunia,['1560'],2527979,Stieleria neptunia,1,10975817,6462735,7534,7404
51,Bacillus licheniformis,"['J84', '632', '904a', '141c', '238', '514c', 'J261', '859', '833', '187', '109', '939', '1022', '186', '104', '923', '993a', '928', '430', '1014', '638', '968', '1006', 'J41', 'J181', '141', 'J841', '879', 'J354', '778a', '946a', '282', '54', '104c', '1a', 'J43', 'J325', '149', 'J14', '110a', 'J751', 'J749', 'J118', 'J303', '90', '142', '27', '829', 'J1146', '381', 'J346', '912', '98', '732a', '1171', '641', '864', '718', '360', '991', '92a', '383b', '1298', '146', '998', '693', '7', 'J383', '195a', '220a', '860', '371', '992', 'J389', '120', 'J169', '192', '1085', '195', '461', '950', 'J486', '153', '944', 'J485', '104a', '504', '1058c', '607a', '115', '514a', 'J426', '1075', '68', '605', 'J396', '144b', '895', '995', '999', '1669', 'J1234', '921', '28', 'J191', '740', '553', '830b', 'J156', 'J27', 'J280', '123', '1003', '411', '429', '957', '53', '162', '931', '971', '990', '1181', '842', '1040', '826', '11', '104b', 'J256', '1058d', '393', '193b', '924a', '830', '1051', '193', 'J1025', '908', '1058b', '462', '943', 'J111', '582', '1602', '457b', '465', 'J232', '878', '148', '913', '1175', '545', '464', '904', '1001', 'J269', '1149', 'J348', '997', '11b', 'J367', '989', '500', '993c', 'J370', '1315', '1013', '535b', '544', '959', '141b', 'J350', 'J151', '441', 'J388', 'J22', '903', '1046', '339a', 'J42', '189', '514f', '875', 'J242', '354', '1429', '1017', '1050', 'J52', '215', '1540', '899', 'J28', '194', '919', '220', '858', 'J236', 'J416', '140', 'J429', '987', '92', '830a', 'J469', '133', '58', '514', 'J475', '209', '63', '1002', '804', '792a', 'J443', '110', '26', '372', '621', 'J277', '988', 'J1130', 'J465', '215c', '917', 'J266', 'J246', '946', '1203', '965', 'J167', 'J363', '120a', '503', 'J531', '81', '1', '130', '119', '883', '97', '958', '382', '377a', '120b', 'J257', '1430', 'J160', 'J211', '520', '1058', 'J168', '907', '533', '960', '829c', '876', '1160', 'J488', 'J514', 'J341', '920', 'J364', '195c', '438', '1203a', '377', '3', 'J32', 'J309', '640', '65', '535a', '310', 'J371', 'J320', '947', '645', '585', '1423', '129', '63b', '383', '188', '87a', '190', '535', 'J13', '6', '1587', '390', 'J489', 'J397', '246a', 'J300', '1010', 'J112', '993b', 'J12', '829a', '606', '1176', '936', '11a', '1170', 'J75', '169b', '147', '213', '1523', 'J853', 'J757', '579', '76', '944a', 'J375', '13', '974', '144', '830c', '136', '1163a', '1034', '61', 'J377', '986', '1007', '122', '851', '84', 'J344', 'J284', '105', '937', '1000', '760', '948', '457', '402', '78', 'J362', '979', '429b', 'J310', '981', 'J908', '967', '142a', '922', '370', '932', '1058a', 'J82', '217', 'J312', '231', '428', '232b', '836', '896', '838', 'J282', 'J97', 'J311', 'J70', 'J79', 'J262', '339', '897', '503a', '534', '937a', '925', '776', 'J101', '884', '246', 'J26']",1402,Bacillus licheniformis,2,4342466,1988996,4475,4285
52,Catenulispora graminis,"['84', '65']",479433,Catenulispora acidiphila DSM 44928,1,10467782,7303066,9082,8974
53,Xanthomonas cassavae,['1'],1219375,Xanthomonas cassavae CFBP 4642,3,5270756,3432707,4760,4308
