name,cultures,taxid,sci_name,chromosome_numbers,genome_size,genome_gc_content,gene_counts,protein_coding_genes

Anabaena cylindrica,['C18'],272123,Anabaena cylindrica PCC 7122,7,7063285,2739890,6179,5917

Trichormus variabilis,['C18'],375899,Trichormus variabilis 0441,5,7096012,2937904,5971,5820

Anabaena oscillarioides,['C17'],272123,Anabaena cylindrica PCC 7122,7,7063285,2739890,6179,5917

Dolichospermum flos-aquae,"['C40', 'C18']",315271,Dolichospermum flos-aquae CCAP 1403/13F,2,5220684,1991558,4985,4715

Dolichospermum solitarium,['C40'],1973481,Dolichospermum compactum NIES-806,1,5165988,1935053,4818,4550

Synechococcus leopoliensis,['C40'],1140,Synechococcus elongatus PCC 7942 = FACHB-805,2,2742269,1519940,2767,2706

Phormidium breve,['C10'],2940671,Phormidium yuhuli AB48,2,4799068,2478720,4176,4084

Chalicogloea cavernicola,['C17'],279322,Cutaneotrichosporon cavernicola,8,20237334,11835455,7753,7753

Gloeothece sp.,['C40'],65393,Gloeothece citriformis PCC 7424,7,6554169,2523998,5939,5774

Gloeothece membranacea,['C17'],65393,Gloeothece citriformis PCC 7424,7,6554169,2523998,5939,5774

Gloeomargarita lithophora,['C17'],1188229,Gloeomargarita lithophora Alchichica-D10,1,3049282,1565367,3062,2975

Anabaena inaequalis,['C18'],272123,Anabaena cylindrica PCC 7122,7,7063285,2739890,6179,5917

Leptolyngbya boryana,['C17'],411966,Leptolyngbya boryana IAM M-101,4,6803468,3198128,6420,6283

Nostoc punctiforme,"['1592', 'C18']",63737,Nostoc punctiforme PCC 73102,6,9059191,3746385,7702,7314

Planktothrix agardhii,"['C17', 'C40']",1160,Planktothrix agardhii,6,4904228,1945950,4494,4349

Phormidium uncinatum,['C17'],2940671,Phormidium yuhuli AB48,2,4799068,2478720,4176,4084

Phormidium inundatum,['C17'],2940671,Phormidium yuhuli AB48,2,4799068,2478720,4176,4084

Synechococcus elongatus,"['C17', 'C40', '1593a']",1140,Synechococcus elongatus PCC 7942 = FACHB-805,2,2742269,1519940,2767,2706

Melittangium lichenicola,"['1209', 'J729', '222', '11', 'J118', '67', '514', '535', '9', '1273', '1234', '215', '429', 'J794']",1294270,Melittangium boletus DSM 14713,1,9910441,6782656,8200,8038

Bradyrhizobium oligotrophicum,"['953', 'J14', 'J74', 'J346', 'J118', 'J75', '952', 'J24', 'J661', 'J23']",1245469,Bradyrhizobium oligotrophicum S58,1,8264165,5382140,7274,7132

Arthrobacter parietis,"['J569', '92', 'J118', '514']",37921,Arthrobacter agilis,4,3786308,2575820,3570,3488

Corallococcus coralloides,"['90', 'J436', 'J124', '1266', '67', '9', '222']",1144275,Corallococcus coralloides DSM 2259,1,10080619,7046043,8155,8042

