taxid,cultures,sci_name,chromosome_numbers,genome_size,genome_gc_content,gene_counts,protein_coding_genes,lineage
272123,['C18'],Anabaena cylindrica PCC 7122,7,7063285,2739890,6179,5917, Terrabacteria group  Cyanobacteriota/Melainabacteria group  Cyanobacteriota  Cyanophyceae  Nostocales  Nostocaceae  Anabaena  Anabaena cylindrica
375899,['C18'],Trichormus variabilis 0441,5,7096012,2937904,5971,5820, Terrabacteria group  Cyanobacteriota/Melainabacteria group  Cyanobacteriota  Cyanophyceae  Nostocales  Nostocaceae  Trichormus  Trichormus variabilis
272123,['C17'],Anabaena cylindrica PCC 7122,7,7063285,2739890,6179,5917, Terrabacteria group  Cyanobacteriota/Melainabacteria group  Cyanobacteriota  Cyanophyceae  Nostocales  Nostocaceae  Anabaena  Anabaena cylindrica
315271,"['C40', 'C18']",Dolichospermum flos-aquae CCAP 1403/13F,2,5220684,1991558,4985,4715, Terrabacteria group  Cyanobacteriota/Melainabacteria group  Cyanobacteriota  Cyanophyceae  Nostocales  Aphanizomenonaceae  Dolichospermum  Dolichospermum flos-aquae
1973481,['C40'],Dolichospermum compactum NIES-806,1,5165988,1935053,4818,4550, Terrabacteria group  Cyanobacteriota/Melainabacteria group  Cyanobacteriota  Cyanophyceae  Nostocales  Aphanizomenonaceae  Dolichospermum  Dolichospermum compactum
1140,['C40'],Synechococcus elongatus PCC 7942 = FACHB-805,2,2742269,1519940,2767,2706, Terrabacteria group  Cyanobacteriota/Melainabacteria group  Cyanobacteriota  Cyanophyceae  Synechococcales  Synechococcaceae  Synechococcus  Synechococcus elongatus
2940671,['C10'],Phormidium yuhuli AB48,2,4799068,2478720,4176,4084, Terrabacteria group  Cyanobacteriota/Melainabacteria group  Cyanobacteriota  Cyanophyceae  Oscillatoriophycideae  Oscillatoriales  Oscillatoriaceae  Phormidium  Phormidium yuhuli
279322,['C17'],Cutaneotrichosporon cavernicola,8,20237334,11835455,7753,7753, Opisthokonta  Fungi  Dikarya  Basidiomycota  Agaricomycotina  Tremellomycetes  Trichosporonales  Trichosporonaceae  Cutaneotrichosporon
65393,['C40'],Gloeothece citriformis PCC 7424,7,6554169,2523998,5939,5774, Terrabacteria group  Cyanobacteriota/Melainabacteria group  Cyanobacteriota  Cyanophyceae  Oscillatoriophycideae  Chroococcales  Aphanothecaceae  Gloeothece  Gloeothece citriformis
65393,['C17'],Gloeothece citriformis PCC 7424,7,6554169,2523998,5939,5774,
1188229,['C17'],Gloeomargarita lithophora Alchichica-D10,1,3049282,1565367,3062,2975, Terrabacteria group  Cyanobacteriota/Melainabacteria group  Cyanobacteriota  Cyanophyceae  Gloeomargaritales  Gloeomargaritaceae  Gloeomargarita  Gloeomargarita lithophora
272123,['C18'],Anabaena cylindrica PCC 7122,7,7063285,2739890,6179,5917, Terrabacteria group  Cyanobacteriota/Melainabacteria group  Cyanobacteriota  Cyanophyceae  Nostocales  Nostocaceae  Anabaena  Anabaena cylindrica
411966,['C17'],Leptolyngbya boryana IAM M-101,4,6803468,3198128,6420,6283, Terrabacteria group  Cyanobacteriota/Melainabacteria group  Cyanobacteriota  Cyanophyceae  Leptolyngbyales  Leptolyngbyaceae  Leptolyngbya group  Leptolyngbya  Leptolyngbya boryana
63737,"['1592', 'C18']",Nostoc punctiforme PCC 73102,6,9059191,3746385,7702,7314, Terrabacteria group  Cyanobacteriota/Melainabacteria group  Cyanobacteriota  Cyanophyceae  Nostocales  Nostocaceae  Nostoc  Nostoc punctiforme
1160,"['C17', 'C40']",Planktothrix agardhii,6,4904228,1945950,4494,4349, Terrabacteria group  Cyanobacteriota/Melainabacteria group  Cyanobacteriota  Cyanophyceae  Oscillatoriophycideae  Oscillatoriales  Microcoleaceae  Planktothrix
2940671,['C17'],Phormidium yuhuli AB48,2,4799068,2478720,4176,4084, Terrabacteria group  Cyanobacteriota/Melainabacteria group  Cyanobacteriota  Cyanophyceae  Oscillatoriophycideae  Oscillatoriales  Oscillatoriaceae  Phormidium  Phormidium yuhuli
2940671,['C17'],Phormidium yuhuli AB48,2,4799068,2478720,4176,4084, Terrabacteria group  Cyanobacteriota/Melainabacteria group  Cyanobacteriota  Cyanophyceae  Oscillatoriophycideae  Oscillatoriales  Oscillatoriaceae  Phormidium  Phormidium yuhuli
1140,"['C17', 'C40', '1593a']",Synechococcus elongatus PCC 7942 = FACHB-805,2,2742269,1519940,2767,2706, Terrabacteria group  Cyanobacteriota/Melainabacteria group  Cyanobacteriota  Cyanophyceae  Synechococcales  Synechococcaceae  Synechococcus  Synechococcus elongatus
1294270,"['1209', 'J729', '222', '11', 'J118', '67', '514', '535', '9', '1273', '1234', '215', '429', 'J794']",Melittangium boletus DSM 14713,1,9910441,6782656,8200,8038, Myxococcota  Myxococcia  Myxococcales  Cystobacterineae  Archangiaceae  Melittangium  Melittangium boletus
1245469,"['953', 'J14', 'J74', 'J346', 'J118', 'J75', '952', 'J24', 'J661', 'J23']",Bradyrhizobium oligotrophicum S58,1,8264165,5382140,7274,7132, Pseudomonadota  Alphaproteobacteria  Hyphomicrobiales  Nitrobacteraceae  Bradyrhizobium  Bradyrhizobium oligotrophicum
